drug ineffective,doesn't work
nausea,nausea
death,death
fatigue,tired
headache,headache
dyspnoea,difficult breathing
pain,pain
dizziness,dizziness
vomiting,vomiting
diarrhoea,diarrhoea
malaise,discomfort
asthenia,physical weakness
pyrexia,fever
myocardial infarction,heart attack
rash,rash
fall,fall
arthralgia,joint pain
anxiety,anxiety
depression, depression
pain in extremity, arm or leg pain
insomnia,can't sleep
pruritus,severe itchiness
pneumonia,pneumonia
cerebrovascular accident,stroke
injection site pain,injection site pain
weight decreased,weight decreased
chest pain,chest pain
abdominal pain,abdominal pain
feeling abnormal,feeling abnormal
oedema peripheral, swelling of arms or legs
hypertension,high blood pressure
back pain,back pain
anaemia,lack of blood
convulsion,irregular movement of a limb or of the body
cough,cough
weight increased,weight increased
hypotension,low blood pressure
blood glucose increased,high blood sugar
somnolence,tiredness
tremor,shakiness
abdominal pain upper,abdominal pain upper
myalgia,pain in a muscle
confusional state,confused
gait disturbance,can't walk normally
drug interaction,drug interaction
condition aggravated,condition is worse
paraesthesia,Pins and needles
decreased appetite,decreased appetite
muscle spasms,muscle spasms
constipation,can't poo
off label use,not what the drug is for
flushing,turning red
hypoaesthesia,reduced sense of touch
loss of consciousness,passed out
dehydration,dehydration
erythema,reddening of the skin
renal failure acute,Kidney Failure
renal failure,Kidney Failure
overdose,overdose
injection site erythema,injection site pain
hypersensitivity,hypersensitivity
drug dose omission,drug dose omission
product quality issue,product quality issue
urticaria,hives
blood pressure increased,blood pressure increased
pulmonary embolism,arteries in the lungs become blocked
hyperhidrosis,excessive sweating
vision blurred,vision blurred
urinary tract infection,urinary tract infection
drug exposure during pregnancy,drug exposure during pregnancy
cardiac failure congestive,heart failure
nasopharyngitis,Common cold
palpitations, feelings of having rapid or fluttering or pounding heartbeat
chills,chills
muscular weakness,muscular weakness
haemoglobin decreased,haemoglobin decreased
completed suicide,killed oneself
cardiac arrest,heart attach
sepsis,severe infection
cardiac disorder,heart problem
thrombocytopenia,low blood platelet count
syncope,fainting
suicidal ideation,thoughts of suicide
injury,injury
alopecia,hair loss
memory impairment,forgetfullness
incorrect dose administered,incorrect dose administered
deep vein thrombosis,clots in legs
infection,infection
influenza like illness,flu-like
heart rate increased,heart rate increased
diabetes mellitus,diabetes
abdominal discomfort,stomach pain
wrong technique in drug usage process,
dyspepsia,heartburn
atrial fibrillation,irregular heartbeat
tachycardia,rapid heartbeat
pharmaceutical product complaint, drug problem
platelet count decreased,platelet count decreased
disease progression,disease progression
agitation,agitation
neutropenia,low count of white blood cells
chest discomfort,chest discomfort
haemorrhage,escape of blood from a ruptured blood vessel
drug hypersensitivity,drug hypersensitivity
abdominal distension,bloating
general physical health deterioration,getting sicker
alanine aminotransferase increased, liver enzyme in the blood
dysphagia,difficulty or discomfort in swallowing
white blood cell count decreased,white blood cell count decreased
psoriasis,skin cells build up and form scales and itchy
gastrointestinal haemorrhage,intestinal bleed
respiratory failure,can't breath
sinusitis,sinus infection
drug effect decreased,drug effect decreased
dysgeusia,things will taste funny
balance disorder,balance disorder
aspartate aminotransferase increased, liver enzyme in the blood
thrombosis,formation of a blood clot
gastrooesophageal reflux disease, bad heartburn
breast cancer,breast cancer
drug withdrawal syndrome,withdrawal
contusion,bruise
amnesia,forgetfulness
blood creatinine increased,blood creatinine increased
multiple sclerosis relapse,multiple sclerosis flare-up
cardiac failure,heart failure
joint swelling,joint swelling
medication error,medication error
no adverse event,no adverse event
dry mouth,dry mouth
intentional drug misuse,intentional drug misuse
toxicity to various agents,toxicity to various agents
asthma,airways become inflamed
device expulsion,device expulsion
suicide attempt,suicide attempt
injection site swelling,injection site swelling,
adverse event,problem
